Edge,Color,Order,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
B1,Blue,2,1,1,1,,,,,,,,,,,,,,,,,
S1,Silver,2,1,1,1,,,,,,,,,,,,,,,,,
G1,Green,2,1,1,1,,,,,,,,,,,,,,,,,
O1,Orange,2,1,1,1,,,,,,,,,,,,,,,,,
O2,Orange,2,1,1,1,,,,,,,,,,,,,,,,,
P1,Pink,2,1,1,1,,,,,,,,,,,,,,,,,
B2,Blue,2,,,,1,1,1,1,1,,,,,,,,,,,,
S2,Silver,2,,,,1,1,1,1,1,,,,,,,,,,,,
G2,Green,2,,,,1,1,1,1,1,,,,,,,,,,,,
O3,Orange,2,,,,1,1,1,1,1,,,,,,,,,,,,
O4,Orange,2,,,,1,1,1,1,1,,,,,,,,,,,,
P2,Pink,2,,,,1,1,1,1,1,,,,,,,,,,,,
O5,Orange,1,,1,,,,1,,,1,,1,,,,,1,,,,1
P3,Pink,2,,,,,,,,,,1,1,,1,1,,,,,,
P4,Pink,2,,1,,,,,,,,1,,,,,,,,,,
P5,Pink,2,,1,,,,,,,,,,1,1,,,,,,,
P6,Pink,2,,,,,,,,,,,,,,,1,1,1,,,
P7,Pink,3,,,,,1,,,,,,,,,,1,,,1,,
P8,Pink,3,,,,,,,1,,,,,,,,,1,,,1,
