,KeyFunc,v1<v2,v1=v2,v1>v2
00001,union,v1,v1,v1
00002,intersect,v1,v1,v1
00003,union,v2,v1,v1
00004,intersect,v2,v1,v1
00005,union,NaN,v1,v1
00006,intersect,NaN,v1,v1
00007,union,-Inf,v1,v1
00008,intersect,-Inf,v1,v1
00009,union,+Inf,v1,v1
00010,intersect,+Inf,v1,v1
00011,union,v1,NaN,v1
00012,intersect,v1,NaN,v1
00013,union,v2,NaN,v1
00014,intersect,v2,NaN,v1
00015,union,NaN,NaN,v1
00016,intersect,NaN,NaN,v1
00017,union,-Inf,NaN,v1
00018,intersect,-Inf,NaN,v1
00019,union,+Inf,NaN,v1
00020,intersect,+Inf,NaN,v1
00021,union,v1,-Inf,v1
00022,intersect,v1,-Inf,v1
00023,union,v2,-Inf,v1
00024,intersect,v2,-Inf,v1
00025,union,NaN,-Inf,v1
00026,intersect,NaN,-Inf,v1
00027,union,-Inf,-Inf,v1
00028,intersect,-Inf,-Inf,v1
00029,union,+Inf,-Inf,v1
00030,intersect,+Inf,-Inf,v1
00031,union,v1,+Inf,v1
00032,intersect,v1,+Inf,v1
00033,union,v2,+Inf,v1
00034,intersect,v2,+Inf,v1
00035,union,NaN,+Inf,v1
00036,intersect,NaN,+Inf,v1
00037,union,-Inf,+Inf,v1
00038,intersect,-Inf,+Inf,v1
00039,union,+Inf,+Inf,v1
00040,intersect,+Inf,+Inf,v1
00041,union,v1,v1,v2
00042,intersect,v1,v1,v2
00043,union,v2,v1,v2
00044,intersect,v2,v1,v2
00045,union,NaN,v1,v2
00046,intersect,NaN,v1,v2
00047,union,-Inf,v1,v2
00048,intersect,-Inf,v1,v2
00049,union,+Inf,v1,v2
00050,intersect,+Inf,v1,v2
00051,union,v1,NaN,v2
00052,intersect,v1,NaN,v2
00053,union,v2,NaN,v2
00054,intersect,v2,NaN,v2
00055,union,NaN,NaN,v2
00056,intersect,NaN,NaN,v2
00057,union,-Inf,NaN,v2
00058,intersect,-Inf,NaN,v2
00059,union,+Inf,NaN,v2
