,doc,entity,position,type
1,19960825_13108.txt,addis ababa,54;132;974;,LOCATION
2,19960930_84704.txt,addis ababa,60;,LOCATION
3,19961004_96087.txt,addis ababa,61;305;,LOCATION
4,19961006_98377.txt,addis ababa,68;,LOCATION
5,19961009_104796.txt,addis ababa,59;443;,LOCATION
6,19961010_107656.txt,addis ababa,61;,LOCATION
7,19961031_158809.txt,addis ababa,2109;,LOCATION
8,19961101_159647.txt,addis ababa,1485;,LOCATION
9,19961113_185784.txt,addis ababa,62;,LOCATION
10,19960821_6808.txt,aden,212;,LOCATION
11,19961026_145749.txt,aden,58;,LOCATION
12,19961106_169278.txt,adriatic sea,1357;,LOCATION
13,19961219_268288.txt,aegean sea,2535;,LOCATION
14,19960826_14771.txt,afghanistan,1;1951;2233;,LOCATION
15,19960910_44282.txt,afghanistan,102;,LOCATION
16,19960910_44342.txt,afghanistan,93;1866;,LOCATION
17,19960912_49971.txt,afghanistan,663;,LOCATION
18,19960913_53737.txt,afghanistan,1;96;756;2560;2992;,LOCATION
19,19960918_61838.txt,afghanistan,136;1177;1387;2428;,LOCATION
20,19960919_65940.txt,afghanistan,1442;,LOCATION
21,19960926_79134.txt,afghanistan,1;97;597;,LOCATION
22,19960926_79154.txt,afghanistan,2815;3484;,LOCATION
23,19960927_81212.txt,afghanistan,150;367;504;832;1258;1574;,LOCATION
24,19960927_81810.txt,afghanistan,1;2015;2203;2359;,LOCATION
25,19960927_81830.txt,afghanistan,1;,LOCATION
26,19960928_83358.txt,afghanistan,109;303;825;1683;,LOCATION
27,19960928_83399.txt,afghanistan,1;70;,LOCATION
28,19960928_83419.txt,afghanistan,1;28;130;368;1251;1369;3323;4071;,LOCATION
29,19960930_84625.txt,afghanistan,1999;2203;,LOCATION
30,19960930_85560.txt,afghanistan,1;46;75;1307;2789;2842;,LOCATION
31,19961001_89342.txt,afghanistan,1;328;1208;2217;3972;,LOCATION
32,19961001_89947.txt,afghanistan,395;493;870;1339;,LOCATION
33,19961002_91560.txt,afghanistan,1;70;1516;2174;,LOCATION
34,19961002_91580.txt,afghanistan,1;82;142;795;,LOCATION
35,19961002_91600.txt,afghanistan,137;,LOCATION
36,19961002_92003.txt,afghanistan,1058;,LOCATION
37,19961003_94336.txt,afghanistan,1;4357;,LOCATION
38,19961004_96146.txt,afghanistan,276;589;958;1347;1546;,LOCATION
39,19961005_98169.txt,afghanistan,1000;,LOCATION
40,19961005_98309.txt,afghanistan,1;69;108;1248;1985;3836;,LOCATION
41,19961006_98797.txt,afghanistan,223;455;,LOCATION
42,19961010_108637.txt,afghanistan,1;94;3419;3450;,LOCATION
43,19961010_108657.txt,afghanistan,1;148;964;,LOCATION
44,19961011_112317.txt,afghanistan,2985;,LOCATION
45,19961014_114670.txt,afghanistan,1520;2517;2712;,LOCATION
46,19961015_117666.txt,afghanistan,1;64;,LOCATION
47,19961015_118047.txt,afghanistan,1254;1939;3279;,LOCATION
48,19961018_127055.txt,afghanistan,1;68;2758;,LOCATION
49,19961021_130578.txt,afghanistan,2749;,LOCATION
50,19961022_134003.txt,afghanistan,211;575;1583;2409;,LOCATION
51,19961023_137416.txt,afghanistan,1;100;2273;2464;2597;,LOCATION
52,19961025_144021.txt,afghanistan,1;,LOCATION
53,19961027_146412.txt,afghanistan,1;75;,LOCATION
54,19961028_147936.txt,afghanistan,1;125;,LOCATION
55,19961028_147996.txt,afghanistan,1;53;82;803;1466;2858;,LOCATION
56,19961030_154560.txt,afghanistan,179;451;720;1923;2198;,LOCATION
57,19961031_157348.txt,afghanistan,1;72;,LOCATION
58,19961107_172398.txt,afghanistan,1387;,LOCATION
59,19960820_3120.txt,africa,50;191;440;,LOCATION
60,19960820_3139.txt,africa,7;96;1207;,LOCATION
61,19960820_3180.txt,africa,7;,LOCATION
62,19960821_4966.txt,africa,7;105;523;3219;4503;,LOCATION
63,19960821_5848.txt,africa,7;,LOCATION
64,19960822_7609.txt,africa,1780;,LOCATION
65,19960822_8551.txt,africa,3143;,LOCATION
66,19960822_9051.txt,africa,7;532;1337;1776;2634;,LOCATION
67,19960822_9071.txt,africa,7;,LOCATION
68,19960822_9611.txt,africa,1783;,LOCATION
69,19960823_10283.txt,africa,7;396;,LOCATION
70,19960823_10616.txt,africa,7;,LOCATION
71,19960823_10951.txt,africa,715;,LOCATION
72,19960823_10991.txt,africa,7;,LOCATION
73,19960824_12670.txt,africa,1539;2026;,LOCATION
74,19960825_13009.txt,africa,124;,LOCATION
75,19960825_13089.txt,africa,871;,LOCATION
76,19960826_13773.txt,africa,980;,LOCATION
77,19960826_14108.txt,africa,7;,LOCATION
78,19960826_14127.txt,africa,7;,LOCATION
79,19960826_14148.txt,africa,7;,LOCATION
80,19960827_15646.txt,africa,4411;4537;,LOCATION
81,19960827_15668.txt,africa,7;314;436;649;939;,LOCATION
82,19960827_16111.txt,africa,312;,LOCATION
83,19960827_16210.txt,africa,432;,LOCATION
84,19960827_16291.txt,africa,7;,LOCATION
85,19960828_18512.txt,africa,7;,LOCATION
86,19960828_18968.txt,africa,7;110;2225;,LOCATION
87,19960828_18988.txt,africa,2551;,LOCATION
88,19960828_19612.txt,africa,406;1664;,LOCATION
89,19960829_21184.txt,africa,7;391;1656;1825;1884;1995;2222;,LOCATION
90,19960829_21203.txt,africa,7;,LOCATION
91,19960829_21362.txt,africa,776;,LOCATION
92,19960829_22439.txt,africa,5287;,LOCATION
93,19960830_23549.txt,africa,7;34;,LOCATION
94,19960830_23926.txt,africa,7;,LOCATION
95,19960830_23965.txt,africa,7;,LOCATION
96,19960830_24927.txt,africa,572;,LOCATION
97,19960901_26189.txt,africa,7;,LOCATION
98,19960902_26927.txt,africa,7;,LOCATION
99,19960902_26947.txt,africa,7;260;,LOCATION
100,19960902_27945.txt,africa,730;1176;,LOCATION
101,19960903_29192.txt,africa,7;227;,LOCATION
102,19960903_29212.txt,africa,375;,LOCATION
103,19960904_31403.txt,africa,7;,LOCATION
104,19960904_31543.txt,africa,7;,LOCATION
105,19960904_31563.txt,africa,7;,LOCATION
106,19960904_33366.txt,africa,504;1020;,LOCATION
107,19960906_36720.txt,africa,7;91;,LOCATION
108,19960906_36859.txt,africa,190;419;,LOCATION
109,19960906_36919.txt,africa,7;97;1006;,LOCATION
110,19960906_36959.txt,africa,7;1556;,LOCATION
111,19960908_39530.txt,africa,7;725;,LOCATION
112,19960908_39590.txt,africa,748;,LOCATION
113,19960909_40393.txt,africa,543;,LOCATION
114,19960909_40473.txt,africa,7;,LOCATION
115,19960909_40894.txt,africa,7;,LOCATION
116,19960909_40914.txt,africa,7;275;1111;,LOCATION
117,19960910_42824.txt,africa,756;,LOCATION
118,19960910_42848.txt,africa,24540;30679;43530;44791;,LOCATION
119,19960910_42928.txt,africa,7;34;,LOCATION
120,19960910_43423.txt,africa,7;51;,LOCATION
121,19960910_43442.txt,africa,7;85;121;,LOCATION
122,19960911_45615.txt,africa,219;,LOCATION
123,19960911_45694.txt,africa,20;,LOCATION
124,19960911_45833.txt,africa,228;742;898;983;1735;1835;1976;,LOCATION
125,19960911_45873.txt,africa,7;,LOCATION
126,19960911_45893.txt,africa,7;,LOCATION
127,19960912_48292.txt,africa,7;,LOCATION
128,19960912_48394.txt,africa,3645;,LOCATION
129,19960912_48693.txt,africa,7;790;,LOCATION
130,19960912_48834.txt,africa,883;,LOCATION
131,19960912_48873.txt,africa,7;377;1091;1795;1975;2173;2662;,LOCATION
132,19960912_48916.txt,africa,7;1701;2221;2847;,LOCATION
133,19960913_51271.txt,africa,2320;,LOCATION
134,19960913_51795.txt,africa,7;497;2370;,LOCATION
135,19960913_52410.txt,africa,757;,LOCATION
136,19960913_52469.txt,africa,379;643;726;800;1298;,LOCATION
137,19960914_53866.txt,africa,7;,LOCATION
138,19960914_54005.txt,africa,1821;,LOCATION
139,19960915_54707.txt,africa,1735;,LOCATION
140,19960916_55255.txt,africa,3126;,LOCATION
