,Hybrid,Jnnz,NUMTAB,SCALE,d4mJaccard,d4mJaccardTotal,d4mScan,d4mWrite,engine,graphuloJaccard,jaccardNumpp,numEntriesAfterCompact,numEntriesRightAfter,numpp,splitCompact,tname
DH_jaccard__DH_pg10_20160331__nt1__d4m|20160429-173713,,214762,1,10,0.36392,3.0197,0.12586,2.5299,d4m,,,214762,214762,,1.0663,DH_pg10_20160331
DH_jaccard__DH_pg10_20160331__nt1__d4m|20160429-173732,1,214762,1,10,0.35827,2.9586,0.084627,2.5157,d4m,,,214762,214762,,0.99627,DH_pg10_20160331
DH_jaccard__DH_pg10_20160331__nt1__graphulo|20160429-173653,,,1,10,,,,,graphulo,3.3561,,214762,1011708,1011708,1.9031,DH_pg10_20160331
DH_jaccard__DH_pg11_20160331__nt1__d4m|20160429-173828,,706522,1,11,1.2338,9.9497,0.23825,8.4777,d4m,,,706522,706522,,1.5675,DH_pg11_20160331
DH_jaccard__DH_pg11_20160331__nt1__d4m|20160429-173855,1,706522,1,11,1.2365,9.9408,0.15525,8.549,d4m,,,706522,706522,,1.519,DH_pg11_20160331
DH_jaccard__DH_pg11_20160331__nt1__graphulo|20160429-173759,,,1,11,,,,,graphulo,11.6556,,706522,1227903,3103514,1.908,DH_pg11_20160331
DH_jaccard__DH_pg12_20160331__nt1__d4m|20160429-174048,,2179554,1,12,3.9627,31.3287,0.583,26.783,d4m,,,2179554,2179554,,1.0003,DH_pg12_20160331
DH_jaccard__DH_pg12_20160331__nt1__d4m|20160429-174138,1,2179554,1,12,3.9406,31.193,0.29411,26.9582,d4m,,,2179554,2179554,,1.0278,DH_pg12_20160331
DH_jaccard__DH_pg12_20160331__nt1__graphulo|20160429-173945,,,1,12,,,,,graphulo,31.6187,,2179554,5449366,9293469,1.938,DH_pg12_20160331
DH_jaccard__DH_pg13_20160331__nt1__d4m|20160429-174443,,6749240,1,13,14.7632,99.1815,0.98661,83.4317,d4m,,,6749240,6750036,,1.0418,DH_pg13_20160331
DH_jaccard__DH_pg13_20160331__nt1__d4m|20160429-174703,1,6749240,1,13,15.1299,100.2608,0.62076,84.5102,d4m,,,6749240,6749240,,0.98221,DH_pg13_20160331
DH_jaccard__DH_pg13_20160331__nt1__graphulo|20160429-174235,,,1,13,,,,,graphulo,84.3797,,6749240,14640242,27148963,1.8933,DH_pg13_20160331
DH_pg10_20160331,,,,,,,,,,,1011708,,,,,
DH_pg11_20160331,,,,,,,,,,,3103514,,,,,
DH_pg12_20160331,,,,,,,,,,,9293469,,,,,
DH_pg13_20160331,,,,,,,,,,,27148963,,,,,
