	EdgesPerVertex	Jnnz	NUMTAB	NoDiag	SCALE	d4mJaccard	d4mJaccardTotal	d4mScan	d4mWrite	d4mkTruss	doClient	doClientSparse	engine	fused	graphuloJaccard	jaccardNnz	jaccardNumpp	k	kTrussAdjD4MTotal	kTrussAdjGraphulo	kTrussAdjNumpp_99	maxiter	nnz	nnzFinal	numEntriesRightAfter	numiter	numpp	splitCompact	splitPoints	splitSizes	tAssoc	tCompactAdjUU	tCompactAdjUUDeg	tComputeAdjUUDeg	tFile	tInsertAdjUU	tname	truss_3_nnz
DH_jaccard__DH_pg10_20160331__nt1__d4m|20161201-235918		214762	1		10	0.39016	3.3708	0.33002	2.6506				d4m												214762			1.1958									DH_pg10_20160331	
DH_jaccard__DH_pg10_20160331__nt1__graphulo|20161202-001945			1		10								graphulo		1.0542										1011708		1011708	2.0469									DH_pg10_20160331	
DH_jaccard__DH_pg10_20160331__nt1__graphulo|20161203-182526			1		10						1		graphulo		1.7459										214762		214762	2.7739									DH_pg10_20160331	
DH_jaccard__DH_pg10_20160331__nt2__d4m|20161203-185706		214762	2		10	0.37579	3.0173	0.13791	2.5036				d4m												214762			1.4398	393,	10542,10496,							DH_pg10_20160331	
DH_jaccard__DH_pg10_20160331__nt2__graphulo|20161202-002003			2		10								graphulo		0.967										1011708		1011708	1.3166	393,	10542,10496,							DH_pg10_20160331	
DH_jaccard__DH_pg10_20160331__nt2__graphulo|20161203-182536			2		10						1		graphulo		1.1244										214762		214762	1.3358	393,	10542,10496,							DH_pg10_20160331	
DH_jaccard__DH_pg11_20160331__nt1__d4m|20161203-185716		706522	1		11	1.2363	10.1765	0.42296	8.5173				d4m												706522			2.1899									DH_pg11_20160331	
DH_jaccard__DH_pg11_20160331__nt1__graphulo|20161203-075054			1		11								graphulo		2.859										3103514		3103514	2.5357									DH_pg11_20160331	
DH_jaccard__DH_pg11_20160331__nt1__graphulo|20161203-182545			1		11						1		graphulo		4.4815										706522		706522	2.167									DH_pg11_20160331	
DH_jaccard__DH_pg11_20160331__nt2__d4m|20161203-185734		706522	2		11	1.2237	10.1196	0.24196	8.6539				d4m												706522			1.3936	260,	22682,22558,							DH_pg11_20160331	
