	EdgesPerVertex	NUMTAB	SCALE	adjnnz	engine	numpp	splitCompact	splitSizes	splitSizesA	splitSizesE	splitSizesT	splitsExp	splitsLinear	tFile	tname	triCountGraphulo	triangles
DH_pg10_20160331	16		10											0.009835			
DH_pg11_20160331	16		11											0.018327			
DH_pg12_20160331	16		12											0.035603			
DH_pg13_20160331	16		13											0.071262			
DH_pg14_20160331	16		14											0.14237			
DH_pg15_20160331	16		15											0.29389			
DH_pg16_20160331	16		16											0.59898			
DH_pg17_20160331	16		17											1.2646			
DH_pg18_20160331	16		18											1.2742			
DH_pg19_20160331	16		19											1.3501			
DH_pg20_20160331	16		20											1.337			
DH_triCountAdjEdge__DH_pg10_20160331__nt24__graphulo|20170709-070111		24	10	10619	graphulo	450392	30.0616		702,1838,207,669,661,1184,204,658,672,690,1475,550,1102,7,	0,0,721,658,1406,664,728,616,756,689,551,701,3313,320,462,643,673,726,1516,558,5537,	0,0,31466,35227,75899,37353,33416,28340,31361,24395,19513,22284,69780,3500,5105,5697,6074,6394,9488,1527,3573,	1	1		DH_pg10_20160331	1.0151	75677
DH_triCountAdjEdge__DH_pg11_20160331__nt24__graphulo|20170709-070154		24	11	22758	graphulo	1334328	31.2523		2763,1317,1749,1070,1265,1707,1008,1404,1338,1351,2236,478,1836,887,1509,840,	1629,1101,1734,1094,1241,1394,1360,1364,5990,888,1252,1369,1347,1998,865,1274,1321,1345,1945,778,14227,	95811,89246,130107,85000,86837,98882,78915,84201,281202,25231,37075,38213,36736,51492,12564,19414,17240,15970,19288,6568,24336,	1	1		DH_pg11_20160331	2.1263	192637
DH_triCountAdjEdge__DH_pg12_20160331__nt24__graphulo|20170709-020844		24	12	48616	graphulo	3921738	35.8952		0,2984,3329,1910,2667,2765,2723,2780,2713,2674,2772,2652,3863,1615,5415,2732,2713,2309,0,	0,0,2784,5523,2907,2983,2146,10229,841,2608,2708,4448,1048,2638,2729,4087,1370,3243,2455,2717,4546,642,34580,	0,0,204935,586229,308876,312069,203302,849760,41451,154242,161094,264032,34471,106813,99972,140864,45253,100001,48478,47926,71989,9228,130753,	1	1		DH_pg12_20160331	3.8398	481538
DH_triCountAdjEdge__DH_pg13_20160331__nt24__graphulo|20170709-020938		24	13	102239	graphulo	11233750	38.2649		0,5469,6632,4336,5388,5441,5486,5420,10957,5727,5149,6887,5019,5168,4706,5446,6830,4076,4102,0,	6029,5518,5013,5828,4911,14273,2296,5297,8824,2163,5351,8806,2084,5403,5512,9032,1798,5567,5340,5825,5084,6104,78420,	622536,790503,761667,864762,700725,1862794,196014,552250,960198,134357,415779,703443,143250,357645,272579,448418,74424,248613,224019,152812,125361,140572,481029,	1	1		DH_pg13_20160331	11.1932	1167211
DH_triCountAdjEdge__DH_pg14_20160331__nt24__graphulo|20170709-070438		24	14	212859	graphulo	31736154	41.7223		10979,12135,9646,11008,10782,11203,10672,10881,10907,11080,10850,13574,8296,10901,10768,10944,11362,10534,10796,5541,	0,11230,11115,10457,10918,20953,2132,9662,13493,8397,16411,5318,11581,10172,11096,10765,10888,10890,11150,21736,10789,11008,16154,169403,0,	0,1603629,2224090,2210083,2144465,4092561,263134,1543192,2364813,1009468,2386923,719449,1268498,1112006,1114843,1062138,860116,739366,724124,1339440,586428,395322,482438,1489628,0,	1	1		DH_pg14_20160331	24.5164	2818738
DH_triCountAdjEdge__DH_pg15_20160331__nt24__graphulo|20170709-021209		24	15	441810	graphulo	88821778	48.7834		0,21835,24316,19356,21824,21825,22423,21237,21825,21832,21931,23664,19919,22105,23819,21344,16922,24932,21852,21808,21833,5208,	0,0,0,44446,21142,36131,7885,31017,12641,25989,17874,21286,21746,21836,21804,21970,43521,21955,26172,13752,25451,21825,21825,22122,381230,0,	0,0,0,10101049,5928260,10252896,1518918,8157388,2348056,6045360,3685706,3728821,4108862,4006296,2783466,3021744,5643881,2264523,2353901,1201948,1982836,1654625,1599854,1087763,5345625,0,	1	1		DH_pg15_20160331	56.4814	6708509
